2021-12-20 18:40:24 WARNING issue with unit arrangement formula:In2NbRu calc_id:-oipVMkiPnOqMg4mlgJZEtfdZ3ss prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:26 WARNING issue with unit arrangement formula:LiTe2Tl calc_id:-pI8L02G8IO3jGfN6DJVcgRy7U1k prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:28 WARNING issue with unit arrangement formula:Mn2RhRu calc_id:-pLW_XdExQMLRaBAbWRJ2SnSpNuH prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:30 WARNING issue with unit arrangement formula:P2ReZn calc_id:-pM1IbvnMd_IH7yx7qIuhjBfUy7N prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:38 WARNING issue with unit arrangement formula:Nb2SbSn calc_id:-pWvPsQo2c0h0OTAtlyKS0ylh-cI prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:40 WARNING issue with unit arrangement formula:MgOsTe2 calc_id:-piKnVoJhp_oSRElE6Lj3iL57EfZ prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:42 WARNING issue with unit arrangement formula:PtSrZr2 calc_id:-qjrXklBclN2g-VcL1f8rcl_Xrkb prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:44 WARNING issue with unit arrangement formula:K2LaRh calc_id:-r8OAQxSsO2UTTea3AMyUEuAqW-S prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:46 WARNING issue with unit arrangement formula:MnPbSn2 calc_id:-rTeWbzryIc7vem8V17QOgLQkKJt prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:49 WARNING issue with unit arrangement formula:Mg2ZnZr calc_id:-rbSFrAMa3U7rIXiLk0s_AEta-Ve prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:51 WARNING issue with unit arrangement formula:RhSbSi calc_id:-rbZ_WG7ZPQ-RLrOBQd24HKZKgHN prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:53 WARNING issue with unit arrangement formula:LaMoRh2 calc_id:-sA3_q2rItiGYHgO3AU54eT7Iloj prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:55 WARNING issue with unit arrangement formula:La2OsW calc_id:-sSC7dK1QtnFZ7zCg7vuHVthJbtK prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:40:57 WARNING issue with unit arrangement formula:OsSn2Y calc_id:-sYkApByo8muGCMOpFC51ehfi8WC prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:01 WARNING issue with unit arrangement formula:ReTiW calc_id:-sZ7XPv-h_GpqDuazErINemV5dTw prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:03 WARNING issue with unit arrangement formula:MgTiV2 calc_id:-tM1mefITtlD2v8WKspOFQ9gO2jT prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:05 WARNING issue with unit arrangement formula:Os2PbY calc_id:-tpzVeNzSwIiaI2k3Us30Uo6RiLY prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:08 WARNING issue with unit arrangement formula:LiOs2Ru calc_id:-uEdXfzIsN61Lcm5e740-BNxUnsK prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:10 WARNING issue with unit arrangement formula:PdTlV2 calc_id:-ulb9IOP9BqBHjdbXI4aGqng6wtv prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:12 WARNING issue with unit arrangement formula:LiPPd2 calc_id:-vxIFp3hhQ3yJ6xjVNllG6ofqxvp prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:14 WARNING issue with unit arrangement formula:KRh2V calc_id:-wRsFiw1NFYR4-HDyciSQUQ5Y6rf prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:16 WARNING issue with unit arrangement formula:MgOsSc2 calc_id:-wo5UyuNSzdXjD-WY8ZvzR-PMu0B prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:18 WARNING issue with unit arrangement formula:KPdSn2 calc_id:-x11DEbAwuwVGtTxU8YpRXOpUtGy prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-20 18:41:21 WARNING issue with unit arrangement formula:PdScTe2 calc_id:-xEFcRcRvfNGFie8vXitu1ZOCl4o prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:45 WARNING issue with unit arrangement formula:In2NiPb calc_id:-xzgq_zssoJ3MOZBU4tLGXjPz40H prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:47 WARNING issue with unit arrangement formula:Os2TaZr calc_id:-yOLwRmhBRMH9q03vCJ226ntDrTa prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
2021-12-27 14:32:49 WARNING issue with unit arrangement formula:MoTc2V calc_id:-yhn-lP_qgk8Z6HP1AwY38Jh7fVI prop:has_cell_volume, unit:meter ** 3, c_unit:M3, check:1
